Joshua Project People Group Data

ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
GT,Guatemala,17522536,61,1,942,5,spa,Spanish,1,Christianity,95.5262896160628,24.6359669639859,N,NAR,"North America",11,"America, Latin",51,81,GTM,17581000,1
GV,Guinea,12710648,48,30,11051686,1,fra,French,6,Islam,4.18934530880748,0.707131169819551,Y,AFR,Africa,8,"Africa, West and Central",36,30,GIN,12771000,234
PU,Guinea-Bissau,1867557,35,19,882854,4,por,Portuguese,6,Islam,11.7640480478917,2.09748798407835,Y,AFR,Africa,8,"Africa, West and Central",43,55,GNB,1921000,31
GY,Guyana,770357,21,1,3926,5,eng,English,1,Christianity,51.4398648786718,15.7182533844189,N,LAM,"South America",11,"America, Latin",27,89,GUY,783000,1
HA,Haiti,11228019,6,,,5,fra,French,1,Christianity,94.8439192151292,17.528954253379,N,NAR,"North America",12,"America, North and Caribbean",55,60,HTI,11263000,
HO,Honduras,9693534,22,1,1887,5,spa,Spanish,1,Christianity,95.8555599712703,27.5563098372992,N,NAR,"North America",11,"America, Latin",57,87,HND,9746000,1
HU,Hungary,9586461,25,4,77551,4,hun,Hungarian,1,Christianity,86.7898209406298,3.02837175806208,N,EUR,Europe,9,"Europe, Eastern and Eurasia",71,99,HUN,9685000,4
IC,Iceland,327964,12,2,1131,4,isl,Icelandic,1,Christianity,90.2834306784661,4.44242962639844,N,EUR,Europe,10,"Europe, Western",94,100,ISL,339000,2
IN,India,1360355187,2718,2445,1300966482,1,hin,Hindi,5,Hinduism,2.03744502633729,,Y,ASI,Asia,4,"Asia, South",34,71,IND,1366418000,27158
ID,Indonesia,269192586,785,234,167894843,4,ind,Indonesian,6,Islam,12.7254487599276,3.1824729884078,Y,ASI,Asia,2,"Asia, Southeast",55,93,IDN,270626000,3457
IR,Iran,82841232,95,85,82516667,1,pes,"Persian, Iranian",6,Islam,1.5994662586053,1.19106153236275,Y,ASI,Asia,5,"Asia, Central",75,85,IRN,82914000,1683
IZ,Iraq,39137259,35,25,38352545,1,arb,"Arabic, Standard",6,Islam,1.3450993667769,0.205629549936403,Y,ASI,Asia,6,"Africa, North and Middle East",71,79,IRQ,39310000,771
EI,Ireland,4831361,45,5,46785,3,eng,English,1,Christianity,91.4077940741499,1.5575024269859,N,EUR,Europe,10,"Europe, Western",63,99,IRL,4882000,5
IM,"Isle of Man",82374,4,,,4,eng,English,1,Christianity,65.05637647058821,8.472644705882351,N,EUR,Europe,10,"Europe, Western",53,,IMN,85000,
IS,Israel,8458899,49,40,8374159,1,heb,Hebrew,4,"Ethnic Religions",1.71332863951168,0.639201686780754,Y,ASI,Asia,6,"Africa, North and Middle East",92,98,ISR,8519000,182
IT,Italy,60463233,105,23,2093374,3,ita,Italian,1,Christianity,81.3323103491329,1.45665859306709,N,EUR,Europe,10,"Europe, Western",70,99,ITA,60550000,57
JM,Jamaica,2932081,9,,,5,eng,English,1,Christianity,81.3566189823609,29.7492614008107,N,NAR,"North America",12,"America, North and Caribbean",56,88,JAM,2948000,
JA,Japan,126729598,36,23,123978765,1,jpn,Japanese,2,Buddhism,2.23488699984235,0.5772247094363711,Y,ASI,Asia,3,"Asia, Northeast",92,99,JPN,126860000,2490
JO,Jordan,10021488,20,13,9338698,1,arb,"Arabic, Standard",6,Islam,2.27703676796674,0.266029473371609,Y,ASI,Asia,6,"Africa, North and Middle East",91,98,JOR,10102000,188
KZ,Kazakhstan,18424734,72,35,13479629,2,kaz,Kazakh,6,Islam,14.7948097597758,0.609616219962447,Y,ASI,Asia,5,"Asia, Central",57,99,KAZ,18551000,291
KE,Kenya,52469514,110,32,5662706,5,eng,English,1,Christianity,78.0349549126945,47.5730535742046,N,AFR,Africa,7,"Africa, East and Southern",27,82,KEN,52574000,128
KR,"Kiribati (Gilbert)",114585,5,,,4,eng,English,1,Christianity,98.4124194915254,8.47772587206364,N,SOP,Oceania,1,"Australia and Pacific",54,93,KIR,118000,
KN,"Korea, North",25541704,5,2,25354584,1,kor,Korean,7,Non-Religious,1.65728194186862,1.56945928892303,Y,ASI,Asia,3,"Asia, Northeast",62,99,PRK,25666000,507
KS,"Korea, South",51146902,23,11,442194,5,kor,Korean,7,Non-Religious,30.1015698910688,16.360256716447,N,ASI,Asia,3,"Asia, Northeast",82,99,KOR,51225000,13
KV,Kosovo,1855879,10,5,1715515,2,aln,"Albanian, Gheg",6,Islam,7.00639256813417,0.210711362683438,N,EUR,Europe,9,"Europe, Eastern and Eurasia",,92,XKV,1908000,37
KU,Kuwait,4137734,28,13,3135048,2,arb,"Arabic, Standard",6,Islam,10.0684944639886,1.50499858841725,Y,ASI,Asia,6,"Africa, North and Middle East",100,94,KWT,4207000,68
KG,Kyrgyzstan,6372616,38,28,5889508,1,kir,Kyrgyz,6,Islam,4.28653077848488,0.329311473471434,Y,ASI,Asia,5,"Asia, Central",36,99,KGZ,6416000,136
LA,Laos,7099673,128,109,5586771,4,lao,Lao,2,Buddhism,3.6353024926768,2.46745357768666,Y,ASI,Asia,2,"Asia, Southeast",35,73,LAO,7169000,188
LG,Latvia,1890183,21,4,10468,4,lvs,"Latvian, Standard",1,Christianity,59.6462527530152,7.67590732930272,N,EUR,Europe,9,"Europe, Eastern and Eurasia",68,99,LVA,1907000,4
LE,Lebanon,6775069,26,8,948555,2,arb,"Arabic, Standard",6,Islam,32.5847574329055,0.70963014917325,Y,ASI,Asia,6,"Africa, North and Middle East",87,94,LBN,6856000,21
LT,Lesotho,2056281,10,,,5,eng,English,1,Christianity,91.23931584,13.1043342701441,N,AFR,Africa,7,"Africa, East and Southern",28,79,LSO,2125000,
LI,Liberia,4885720,39,5,534852,5,eng,English,4,"Ethnic Religions",39.9307876848288,12.5728829359668,N,AFR,Africa,8,"Africa, West and Central",51,48,LBR,4937000,10
LY,Libya,6711544,43,30,6050998,1,arb,"Arabic, Standard",6,Islam,2.17856050464807,0.115193410964984,Y,AFR,Africa,6,"Africa, North and Middle East",80,91,LBY,6777000,132
LS,Liechtenstein,37760,8,1,1011,3,deu,"German, Standard",1,Christianity,78.1745147368421,0.5634815789473691,N,EUR,Europe,10,"Europe, Western",14,100,LIE,38000,1
LH,Lithuania,2728402,21,6,7702,3,lit,Lithuanian,1,Christianity,84.6865976811594,1.40567652983341,N,EUR,Europe,9,"Europe, Eastern and Eurasia",68,99,LTU,2760000,6
LU,Luxembourg,576463,20,3,2757,3,ltz,Luxembourgish,1,Christianity,80.29451922077919,0.994814870663333,N,EUR,Europe,10,"Europe, Western",91,99,LUX,616000,3
MA,Madagascar,26879475,40,10,232102,4,plt,"Malagasy, Plateau",1,Christianity,49.7303291538433,6.09717369731371,N,AFR,Africa,7,"Africa, East and Southern",37,65,MDG,26969000,11
MI,Malawi,18492133,26,4,2015561,5,eng,English,1,Christianity,75.68340079982821,17.0106044607869,N,AFR,Africa,7,"Africa, East and Southern",17,66,MWI,18629000,42
MY,Malaysia,31867339,183,79,16414341,4,zlm,Malay,6,Islam,8.91173110845061,3.69241504752928,Y,ASI,Asia,2,"Asia, Southeast",76,93,MYS,31950000,377
MV,Maldives,500137,4,4,500137,1,div,Maldivian,6,Islam,0.027585593220339,0.009104576271186439,Y,ASI,Asia,4,"Asia, South",40,98,MDV,531000,13
ML,Mali,19579167,74,45,17931706,1,fra,French,6,Islam,2.76791288752671,0.655637459340869,Y,AFR,Africa,8,"Africa, West and Central",42,33,MLI,19658000,369
MT,Malta,421761,10,3,1933,3,mlt,Maltese,1,Christianity,96.5615554090909,1.53853582504098,N,EUR,Europe,10,"Europe, Western",96,94,MLT,440000,3
RM,"Marshall Islands",56372,6,1,425,5,eng,English,1,Christianity,95.25909830508471,52.9128546035903,N,SOP,Oceania,1,"Australia and Pacific",77,98,MHL,59000,1
MB,Martinique,363642,7,,,4,fra,French,1,Christianity,94.85798138297871,6.90371195591636,N,NAR,"North America",12,"America, North and Caribbean",89,87,MTQ,376000,
MR,Mauritania,4495744,19,15,4479952,1,arb,"Arabic, Standard",6,Islam,0.299369710561202,0.125651729168672,Y,AFR,Africa,8,"Africa, West and Central",54,52,MRT,4526000,97
MP,Mauritius,1231948,18,7,100762,4,eng,English,5,Hinduism,32.6236302519685,9.778563182773199,N,AFR,Africa,7,"Africa, East and Southern",41,92,MUS,1270000,7
MF,Mayotte,257433,8,6,253727,1,fra,French,6,Islam,1.62636872180451,0.0926219611142768,N,AFR,Africa,7,"Africa, East and Southern",47,92,MYT,266000,8
MX,Mexico,126732941,330,3,141138,5,spa,Spanish,1,Christianity,94.7691507168276,10.3147504925273,N,NAR,"North America",11,"America, Latin",80,94,MEX,127576000,3
FM,"Micronesia, Federated States",110928,25,1,750,5,eng,English,1,Christianity,95.4188692982456,22.7696245559492,N,SOP,Oceania,1,"Australia and Pacific",23,89,FSM,114000,1
MD,Moldova,3968646,25,7,14393,4,ron,Romanian,1,Christianity,75.5984150037101,4.66991022368611,N,EUR,Europe,9,"Europe, Eastern and Eurasia",43,99,MDA,4043000,7
MN,Monaco,37685,14,1,668,3,fra,French,1,Christianity,82.57366,1.27041521241834,N,EUR,Europe,10,"Europe, Western",100,99,MCO,39000,1
MG,Mongolia,3165761,28,22,3104787,1,khk,"Mongolian, Halh",2,Buddhism,1.73902995348837,0.866468229457364,Y,ASI,Asia,3,"Asia, Northeast",68,97,MNG,3225000,72
MJ,Montenegro,599416,16,3,55133,3,srp,Serbian,1,Christianity,74.253226433121,0.264576177616221,N,EUR,Europe,9,"Europe, Eastern and Eurasia",67,99,MNE,628000,3
MH,Montserrat,4849,2,,,5,eng,English,1,Christianity,94.94346,27.4615319055963,N,NAR,"North America",12,"America, North and Caribbean",9,94,MSR,5000,
MO,Morocco,36381438,31,27,36367672,1,arb,"Arabic, Standard",6,Islam,0.188640378075282,0.104724309117064,Y,AFR,Africa,6,"Africa, North and Middle East",63,69,MAR,36472000,728
MZ,Mozambique,30220784,61,9,1654074,5,por,Portuguese,1,Christianity,52.8865227570309,13.2670018497325,N,AFR,Africa,7,"Africa, East and Southern",36,55,MOZ,30366000,34
BM,"Myanmar (Burma)",53961665,148,53,45093137,4,mya,Burmese,2,Buddhism,8.07306528970018,4.80125515147517,Y,ASI,Asia,2,"Asia, Southeast",31,93,MMR,54045000,922
WA,Namibia,2457567,32,,,5,eng,English,1,Christianity,89.7924325210421,13.7669843286573,N,AFR,Africa,7,"Africa, East and Southern",50,91,NAM,2495000,
NR,Nauru,10513,7,,,5,eng,English,1,Christianity,85.6644090909091,12.5950204082487,N,SOP,Oceania,1,"Australia and Pacific",100,97,NRU,11000,
NP,Nepal,28492039,285,275,25742369,1,npi,Nepali,5,Hinduism,1.27178302624021,,Y,ASI,Asia,4,"Asia, South",20,85,NPL,28609000,711
NL,Netherlands,16993886,100,21,886929,4,nld,Dutch,7,Non-Religious,47.20452865298,4.23745767444581,N,EUR,Europe,10,"Europe, Western",92,98,NLD,17097000,31
NC,"New Caledonia",276522,44,,,4,fra,French,1,Christianity,78.4441766784453,6.18186048162204,N,SOP,Oceania,1,"Australia and Pacific",71,99,NCL,283000,
NZ,"New Zealand",4728771,88,25,288233,5,eng,English,1,Christianity,52.6332199456408,18.5626551121452,N,SOP,Oceania,1,"Australia and Pacific",87,99,NZL,4783000,27
NU,Nicaragua,6477663,18,,,5,spa,Spanish,1,Christianity,96.260250913535,42.9546370066401,N,NAR,"North America",11,"America, Latin",59,78,NIC,6546000,
NG,Niger,23250182,37,29,22838715,1,fra,French,6,Islam,1.50375735446785,0.917608059278082,Y,AFR,Africa,8,"Africa, West and Central",16,19,NER,23311000,465
NI,Nigeria,200770903,541,90,62948954,5,eng,English,1,Christianity,51.7577186582671,26.273352620788,Y,AFR,Africa,8,"Africa, West and Central",50,60,NGA,200964000,1307
NE,Niue,1928,2,,,4,eng,English,1,Christianity,95.886,5.43201086514245,N,SOP,Oceania,1,"Australia and Pacific",45,99,NIU,2000,
NF,"Norfolk Island",1615,3,,,5,eng,English,1,Christianity,72.2682352941176,20.4273529411765,N,SOP,Oceania,1,"Australia and Pacific",,,NFK,1700,
MK,"North Macedonia",2072523,22,9,637735,3,mkd,Macedonian,1,Christianity,62.0668774905425,0.164248609870094,N,EUR,Europe,9,"Europe, Eastern and Eurasia",58,97,MKD,2083000,19
CQ,"Northern Mariana Islands",55686,11,1,899,5,eng,English,1,Christianity,75.25135614035089,16.9248021507482,N,SOP,Oceania,1,"Australia and Pacific",92,97,MNP,57000,1
NO,Norway,5341855,53,12,223236,4,nor,Norwegian,1,Christianity,88.5394358505298,8.13297417735639,N,EUR,Europe,10,"Europe, Western",82,100,NOR,5379000,12
MU,Oman,4915392,34,26,4632759,1,arb,"Arabic, Standard",6,Islam,2.70632751557789,0.801934753779933,Y,ASI,Asia,6,"Africa, North and Middle East",85,99,OMN,4975000,100
PK,Pakistan,215604516,509,502,213698906,1,urd,Urdu,6,Islam,0.899064457326252,,Y,ASI,Asia,4,"Asia, South",37,58,PAK,216565000,4493
PS,Palau,16587,6,,,5,eng,English,1,Christianity,95.5294611111111,22.0519166666667,N,SOP,Oceania,1,"Australia and Pacific",80,97,PLW,18000,
PM,Panama,4240476,30,2,12703,5,spa,Spanish,1,Christianity,88.1783667357513,21.5812268916889,N,NAR,"North America",11,"America, Latin",68,94,PAN,4246000,2
PP,"Papua New Guinea",8680642,884,1,1080,5,eng,English,1,Christianity,94.4393352278942,22.8054595733597,N,AUS,Australia,1,"Australia and Pacific",13,72,PNG,8776000,1
PA,Paraguay,7021776,41,2,17063,4,spa,Spanish,1,Christianity,95.36444242725339,8.07747218600691,N,LAM,"South America",11,"America, Latin",62,95,PRY,7045000,2
PE,Peru,32447948,104,9,170556,5,spa,Spanish,1,Christianity,94.5298282190096,14.4033836722662,N,LAM,"South America",11,"America, Latin",78,94,PER,32510000,11
RP,Philippines,107959093,200,30,5354868,5,tgl,Tagalog,1,Christianity,90.9664677284793,13.9299504795341,N,ASI,Asia,2,"Asia, Southeast",47,95,PHL,108117000,122
PC,"Pitcairn Islands",48,1,,,4,eng,English,1,Christianity,96,10,N,SOP,Oceania,1,"Australia and Pacific",,,PCN,50,
PL,Poland,37809612,32,5,11928,3,pol,Polish,1,Christianity,89.4959515965477,0.31030995120784,N,EUR,Europe,9,"Europe, Eastern and Eurasia",60,100,POL,37888000,5
PO,Portugal,10146404,42,6,107531,4,por,Portuguese,1,Christianity,93.3459191277137,3.36032213312006,N,EUR,Europe,10,"Europe, Western",65,96,PRT,10226000,7
RQ,"Puerto Rico",2727678,13,1,1114,5,spa,Spanish,1,Christianity,94.60548008182749,32.2178701129896,N,NAR,"North America",12,"America, North and Caribbean",94,99,PRI,2933000,1
QA,Qatar,2693302,24,13,2345731,2,arb,"Arabic, Standard",6,Islam,6.2871575529661,0.848051851545214,Y,ASI,Asia,6,"Africa, North and Middle East",99,98,QAT,2832000,47
RE,Reunion,878600,19,7,56921,4,fra,French,1,Christianity,85.5520861079865,6.80491659644412,N,AFR,Africa,7,"Africa, East and Southern",95,92,REU,889000,7
RO,Romania,19297431,33,7,70806,4,ron,Romanian,1,Christianity,93.6828851742835,6.33110209211091,N,EUR,Europe,9,"Europe, Eastern and Eurasia",54,99,ROU,19365000,7
RS,Russia,144504204,180,117,15662755,3,rus,Russian,1,Christianity,57.6694123285715,1.46298720609067,N,ASI,Asia,9,"Europe, Eastern and Eurasia",74,100,RUS,145872000,382
RW,Rwanda,12507865,12,3,21708,5,kin,Kinyarwanda,1,Christianity,88.9416803484596,26.2315426863071,N,AFR,Africa,7,"Africa, East and Southern",17,66,RWA,12627000,3
