Joshua Project People Group Data

ROL3,Language,Status,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
dic,"Dida, Lakota",L,1,4,N,1,,,,N,N,,1,Christianity
gud,"Dida, Yocoboue",L,1,4,N,4,,2013,1930-1985,Y,Y,839,1,Christianity
did,Didinga,L,1,5,N,4,,Yes,1994-2014,Y,Y,did,4,"Ethnic Religions"
ddo,Dido,L,2,1,Y,1,,,,N,N,,6,Islam
tbp,Diebroud,L,1,3,N,1,,,,N,Y,,1,Christianity
dif,Dieri,N,,,N,4,,1897,Yes,N,N,,,
mhu,Digaro-Mishmi,L,43,3,N,3,,,Yes,Y,Y,,5,Hinduism
dur,Dii,L,1,2,N,4,,2001,1966,N,Y,dur,1,Christianity
cfa,Dikaka,L,1,4,N,3,,,2008,Y,Y,,4,"Ethnic Religions"
dil,Dilling,N,2,1,Y,0,,,,N,Y,,6,Islam
jma,Dima,L,1,4,N,1,,,,N,Y,,1,Christianity
dis,Dimasa,L,33,3,N,4,,2005,1905-1908,Y,Y,1010,5,Hinduism
dii,Dimbong,N,1,3,N,0,,,,N,N,,1,Christianity
dim,Dime,L,1,5,N,2,,,,N,Y,,1,Christianity
mrx,Dineor,N,1,5,N,0,,,,N,N,,1,Christianity
diz,Ding,L,1,4,N,2,,,,N,Y,,1,Christianity
dip,"Dinka, Northeastern",L,2,5,N,5,2011,1952,1926-1943,Y,Y,,1,Christianity
diw,"Dinka, Northwestern",L,1,5,N,0,,,,N,Y,,1,Christianity
dib,"Dinka, South Central",L,2,4,N,3,,,1866-2012,Y,Y,,1,Christianity
dks,"Dinka, Southeastern",L,1,5,N,4,,1940,1915-2011,N,Y,dks,1,Christianity
dik,"Dinka, Southwestern",L,1,5,N,4,,2006-2010,1993,Y,Y,242,1,Christianity
gdl,Dirasha,L,1,5,N,3,,,2013,Y,Y,,1,Christianity
dwa,Diri,L,1,2,N,0,,,,N,Y,,4,"Ethnic Religions"
dir,Dirim,L,1,1,Y,3,,,2000,N,Y,,4,"Ethnic Religions"
dsi,Disa,L,1,1,Y,1,,,,N,N,,6,Islam
tbz,Ditammari,L,2,4,N,5,2001,1989,1991,Y,Y,,4,"Ethnic Religions"
dtd,Ditidaht,N,,,N,0,,,,N,Y,,,
diy,Diuwe,L,1,1,Y,1,,,,N,N,,6,Islam
dix,"Dixon Reef",L,1,5,N,1,,,,N,N,,1,Christianity
mdx,Dizin,L,1,5,N,3,,,2012,N,N,,4,"Ethnic Religions"
dyy,Djabugay,N,,,N,0,,,,N,N,,,
tjw,Djabwurrung,N,,,N,0,,,,N,N,,,
djr,Djambarrpuyngu,L,1,5,N,4,,2008,1977–2006,N,Y,244,4,"Ethnic Religions"
djd,Djamindjung,N,1,4,N,0,,,,N,N,,1,Christianity
djn,Djauan,N,,,N,0,,,,N,Y,,,
djj,Djeebbana,L,1,4,N,2,,,,N,N,,4,"Ethnic Religions"
dji,Djinang,L,1,5,N,3,,,1985-1987,N,N,,4,"Ethnic Religions"
djb,Djinba,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
kvo,Dobel,L,1,4,N,3,,,1991-2009,N,Y,,1,Christianity
dob,Dobu,L,1,5,N,5,1928,1911-1986,1894-1919,N,Y,926,1,Christianity
doe,Doe,L,1,4,N,1,,,,N,N,,6,Islam
dgg,Doga,L,1,5,N,1,,,,N,Y,,1,Christianity
dgx,Doghoro,L,1,5,N,3,,,2012,N,Y,,1,Christianity
aqd,"Dogon, Ampari",L,1,1,Y,1,,,,N,N,,6,Islam
dti,"Dogon, Ana Tinga",L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
dbw,"Dogon, Bankan Tey",L,1,2,N,1,,,,N,N,,6,Islam
dbt,"Dogon, Ben Tey",L,1,2,N,1,,,,N,N,,6,Islam
dbu,"Dogon, Bondum Dom",L,1,4,N,1,,,,N,N,,6,Islam
dgb,"Dogon, Bunoge",L,1,2,N,1,,,,N,N,,6,Islam
dbg,"Dogon, Dogul Dom",L,1,2,N,1,,,,N,N,,6,Islam
dds,"Dogon, Donno So",L,1,2,N,4,,1988,Yes,N,N,,6,Islam
djm,"Dogon, Jamsay",L,2,4,N,3,,,Yes,Y,Y,,6,Islam
dmb,"Dogon, Mombo",L,1,4,N,2,,,,N,N,,6,Islam
nzz,"Dogon, Nanga Dama",L,1,1,Y,1,,,,N,N,,6,Islam
dtu,"Dogon, Tebul Ure",L,1,2,N,1,,,,N,N,,6,Islam
dtk,"Dogon, Tene Kan",L,1,4,N,1,,,,N,N,,6,Islam
tde,"Dogon, Tiranige Diga",L,1,1,Y,1,,,,N,N,,6,Islam
dto,"Dogon, Tommo So",L,1,1,Y,3,,,Yes,Y,N,,6,Islam
dtm,"Dogon, Tomo Kan",L,3,4,N,3,,,2019,Y,Y,,4,"Ethnic Religions"
dts,"Dogon, Toro So",L,1,4,N,5,2010,1957-1994,1933-1984,Y,Y,,6,Islam
dtt,"Dogon, Toro Tegu",L,1,2,N,1,,,,N,N,,6,Islam
dym,"Dogon, Yanda Dom",L,1,2,N,1,,,,N,N,,6,Islam
dos,Dogose,L,1,1,Y,4,,2017,2004,Y,Y,,4,"Ethnic Religions"
dgs,Dogoso,L,1,1,Y,2,,,,N,N,,4,"Ethnic Religions"
dgo,Dogri,L,243,1,Y,4,,1826-2017,1883-1971,Y,Y,,5,Hinduism
dgr,Dogrib,L,1,5,N,4,,2005-2008,2008,Y,Y,800,1,Christianity
dbi,Doka,L,1,1,Y,1,,,,N,Y,,4,"Ethnic Religions"
uya,Doko-Uyanga,L,1,5,N,1,,,,N,Y,,1,Christianity
dlg,Dolgan,L,1,1,Y,3,,,1996-2002,N,N,,4,"Ethnic Religions"
dre,Dolpo,L,2,1,Y,0,,,,N,Y,,2,Buddhism
doa,Dom,L,1,5,N,4,,2016,Yes,N,Y,,1,Christianity
dmk,Domaaki,N,2,1,Y,0,,,,N,N,,6,Islam
rmt,Domari,L,16,1,Y,3,,,Yes,Y,Y,,6,Islam
dov,Dombe,L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
doq,"Dominican Sign Language",L,1,,N,2,,,,N,N,,1,Christianity
doy,Dompo,N,1,4,N,0,,,,N,Y,,6,Islam
dof,Domu,L,1,5,N,1,,,,N,Y,,1,Christianity
dev,Domung,L,1,5,N,2,,,,N,N,,1,Christianity
dok,Dondo,L,1,1,Y,2,,,,N,N,,6,Islam
doh,Dong,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
doc,"Dong, Northern",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
kmc,"Dong, Southern",L,2,1,Y,4,,2006,Yes,Y,Y,,4,"Ethnic Religions"
doo,Dongo,L,1,4,N,2,,,,N,Y,,1,Christianity
ddd,Dongotono,L,1,3,N,1,,,,N,N,,1,Christianity
sce,Dongxiang,L,1,1,Y,0,,,,N,Y,,6,Islam
dde,Doondo,L,1,4,N,3,,,2014,N,Y,,1,Christianity
dor,Dori'o,L,1,5,N,1,,,,N,Y,,1,Christianity
wwo,Dorig,L,1,5,N,1,,,,N,Y,,1,Christianity
kqc,Doromu-Koki,L,1,4,N,4,,2017,2011,Y,Y,1033,1,Christianity
doz,Dorze,L,1,5,N,0,,,,N,Y,,1,Christianity
dol,Doso,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
dty,Dotyali,L,63,1,Y,4,,2017,Yes,Y,Y,,5,Hinduism
tds,Doutai,L,1,4,N,2,,,,N,Y,,1,Christianity
dow,Doyayo,L,1,2,N,4,,1991,1979,N,Y,880,4,"Ethnic Religions"
dhv,Drehu,L,1,4,N,5,1890,1868-1968,1859-1877,N,Y,,1,Christianity
drt,Drents,L,,,N,3,,,1981,N,N,,,
duf,Drubea,L,1,4,N,1,,,,N,N,,1,Christianity
duu,Drung,L,2,5,N,0,,,,N,Y,,4,"Ethnic Religions"
dua,Duala,L,1,5,N,5,1872-1970,1861-1909,1848-1933,Y,Y,,1,Christianity
dup,Duano,L,2,1,Y,1,,,,N,N,,6,Islam
dva,Duau,L,1,5,N,3,,,1975,N,Y,,1,Christianity
dub,Dubli,L,3,1,Y,4,,2017,Yes,Y,Y,,5,Hinduism
ynl,Dubuporo,L,1,5,N,1,,,,N,N,,1,Christianity
ndu,Dugun,L,1,4,N,3,,,1982,N,Y,,1,Christianity
dbm,Duguri,L,1,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
dme,Dugwor,L,1,2,N,1,,,,N,Y,,6,Islam
kbz,Duhwa,L,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
nke,Duke,L,1,5,N,1,,,,N,Y,,1,Christianity
dbo,Dulbu,N,,,N,0,,,,N,N,,,
duz,Duli-Gey,N,,,N,0,,,,N,N,,,
dma,Duma,L,1,3,N,1,,,,N,Y,,1,Christianity
agv,"Dumagat, Remontado",N,1,4,N,0,,,,N,N,,4,"Ethnic Religions"
dus,Dumi,L,1,1,Y,2,,,,N,Y,,8,"Other / Small"
dmv,Dumpas,L,1,2,N,0,,,,N,N,,4,"Ethnic Religions"
dui,Dumun,L,,,N,1,,,,N,N,,,
duc,Duna,L,1,5,N,4,,1976,1968,Y,Y,,1,Christianity
dng,Dungan,L,5,1,Y,3,,,2002-2011,Y,N,,6,Islam
raa,Dungmali,L,2,1,Y,1,,,,N,Y,,8,"Other / Small"
duh,"Dungra Bhil",L,13,1,Y,4,,2009,Yes,Y,Y,,5,Hinduism
dbv,Dungu,L,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
giw,Duoluo,N,1,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
drq,Dura,N,1,1,Y,0,,,,N,N,,5,Hinduism
mvp,Duri,L,1,1,Y,4,,2005,1998,Y,Y,,6,Islam
dbn,Duriankere,N,1,4,N,0,,,,N,Y,,1,Christianity
pci,Duruwa,L,63,1,Y,3,,,Yes,Y,Y,,5,Hinduism
dsn,Dusner,N,,,N,0,,,,N,Y,,,
dun,"Dusun Deyah",L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
duq,"Dusun Malang",L,1,2,N,0,,,,N,Y,,4,"Ethnic Religions"
duw,"Dusun Witu",L,1,4,N,4,,2017,Yes,N,Y,,4,"Ethnic Religions"
nld,Dutch,L,37,4,N,5,1522-2004,1480-1992,1477-2003,Y,Y,75,7,Non-Religious
dux,Duungooma,L,1,1,Y,2,,,,N,N,,4,"Ethnic Religions"
dae,Duupa,L,1,4,N,3,,,1982,N,N,,6,Islam
duv,Duvle,L,1,4,N,1,,,,N,Y,,1,Christianity
dbp,Duwai,L,1,1,Y,1,,,,N,N,,6,Islam
gve,Duwet,L,1,5,N,3,,,2012,N,N,,1,Christianity
ldb,Duya,L,1,2,N,3,,,2011–2015,Y,Y,,4,"Ethnic Religions"
nnu,Dwang,L,1,5,N,2,,,,N,Y,,1,Christianity
dya,Dyan,L,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
dbl,Dyirbal,N,,,N,0,,,,N,N,,,
jen,Dza,L,1,5,N,3,,,Yes,Y,Y,,4,"Ethnic Religions"
dzl,Dzalakha,L,1,1,Y,1,,,,N,Y,,2,Buddhism
dzn,Dzando,L,1,5,N,1,,,,N,N,,1,Christianity
bpn,"Dzao Min",L,1,1,Y,1,,,,N,Y,,4,"Ethnic Religions"
jpr,Dzhidi,L,2,1,Y,4,,1909,Yes,N,N,,4,"Ethnic Religions"
dzo,Dzongkha,L,5,1,Y,5,2010,2000-2007,1970,Y,Y,,2,Buddhism
dnn,Dzuungoo,L,1,1,Y,3,,,2002,N,Y,,6,Islam
eee,E,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
vmf,"Eastern Franconian",L,,,N,3,,,1992,N,N,,,
igb,Ebira,L,2,4,N,5,2014,1981,1891-1960,Y,Y,,6,Islam
ebr,Ebrie,L,1,4,N,4,,1998,1930-1991,N,Y,,1,Christianity
ebg,Ebughu,L,1,4,N,1,,,,N,N,,1,Christianity
ecs,"Ecuadorian Sign Language",L,1,,N,2,,,,N,N,,1,Christianity
cbj,"Ede Cabe",L,1,2,N,3,,,Yes,Y,Y,,4,"Ethnic Religions"
ica,"Ede Ica",L,1,2,N,2,,,,N,Y,,4,"Ethnic Religions"
idd,"Ede Idaca",L,1,2,N,3,,,Yes,Y,N,,4,"Ethnic Religions"
ijj,"Ede Ije",L,1,2,N,2,,,,N,Y,,4,"Ethnic Religions"
nqk,"Ede Nago, Kura",L,1,2,N,1,,,,N,N,,6,Islam
bin,Edo,L,1,5,N,5,1996,1981,1914-1935,Y,Y,,1,Christianity
etr,Edolo,L,1,5,N,3,,,1997-2010,N,Y,1297,1,Christianity
dbf,Edopi,L,1,4,N,4,,1899,1997-2003,N,N,,1,Christianity
efa,Efai,L,2,4,N,1,,,,N,N,,1,Christianity
llp,"Efate, North",L,1,5,N,5,1972,1912,1875-1892,Y,Y,,1,Christianity
erk,"Efate, South",L,1,5,N,5,1908,1889-1930,1866-2011,N,Y,,1,Christianity
efe,Efe,L,1,5,N,0,,,,N,Y,,1,Christianity
efi,Efik,L,3,5,N,5,1868-1995,1862-1947,1850-1866,Y,Y,,1,Christianity
ofu,Efutop,L,1,4,N,2,,,,N,Y,,1,Christianity
ega,Ega,L,1,4,N,1,,,,N,Y,,1,Christianity
ego,Eggon,L,1,4,N,4,,1974,1935,Y,Y,,4,"Ethnic Religions"
esl,"Egyptian Sign Language",L,1,,N,3,,,2014,N,N,,6,Islam
ehu,Ehueun,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
eit,Eitiep,L,1,5,N,2,,,,N,Y,,1,Christianity
etu,Ejagham,L,2,5,N,4,,1997,1985,Y,Y,889,1,Christianity
eka,Ekajuk,L,1,4,N,4,,1971-2012,1970,Y,Y,eka,1,Christianity
ekg,Ekari,L,1,4,N,4,,1963-1985,1955-1989,N,Y,,1,Christianity
guz,Ekegusii,L,2,5,N,5,1988,1948-1975,1929-1967,Y,Y,,1,Christianity
eki,Eki,L,1,4,N,1,,,,N,N,,1,Christianity
eke,Ekit,L,1,5,N,1,,,,N,N,,1,Christianity
ekp,Ekpeye,L,1,4,N,2,,,,N,Y,,1,Christianity
elh,"El Hugeirat",N,1,1,Y,0,,,,N,N,,6,Islam
elo,"El Molo",N,,,N,0,,,,N,N,,,
alf,Elege,L,1,4,N,2,,,,N,Y,,1,Christianity
elm,Eleme,L,1,4,N,4,,2001,1988,N,Y,,1,Christianity
ele,Elepi,L,1,5,N,1,,,,N,N,,1,Christianity
ekm,Elip,L,1,3,N,3,,,2007,N,N,,1,Christianity
elk,Elkei,L,1,5,N,1,,,,N,Y,,1,Christianity
afo,Eloyi,L,1,2,N,3,,,1972,N,Y,,4,"Ethnic Religions"
mrf,Elseng,L,1,4,N,2,,,,N,Y,,1,Christianity
elu,Elu,L,1,5,N,1,,,,N,N,,1,Christianity
mmw,Emae,L,1,5,N,1,,,,N,N,,1,Christianity
ema,Emai-Iuleha-Ora,L,1,5,N,3,,,1908-1910,N,Y,,1,Christianity
emn,Eman,L,1,3,N,1,,,,N,Y,,1,Christianity
emb,Embaloh,L,1,4,N,4,,1998,Yes,N,Y,,4,"Ethnic Religions"
emp,"Embera, Northern",L,2,5,N,4,,1991-2011,1972-2011,Y,Y,353,1,Christianity
bdc,Embera-Baudo,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
cto,Embera-Catio,L,1,2,N,3,,,1975-2012,N,Y,,4,"Ethnic Religions"
cmi,Embera-Chami,L,1,2,N,3,,,1989-1994,N,Y,,4,"Ethnic Religions"
tdc,Embera-Tado,L,1,4,N,3,,,1999,N,Y,,4,"Ethnic Religions"
enr,Emem,L,1,3,N,1,,,,N,N,,1,Christianity
eme,Emerillon,L,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
egl,Emilian,L,,,N,0,,,,N,N,,,
emw,Emplawas,N,,,N,0,,,,N,N,,,
enc,En,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
pbh,"Enapa Woromaipu",L,1,4,N,4,,2003,1984-1991,Y,N,,1,Christianity
unk,Enawene-Nawe,L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
end,Ende,L,1,4,N,3,,,2009,N,Y,,1,Christianity
enf,"Enets, Forest",N,,,N,0,,,,N,N,,,
enh,"Enets, Tundra",N,,,N,0,,,,N,N,,,
enq,Enga,L,1,5,N,4,,1979-1988,1965,Y,Y,,1,Christianity
ngr,Engdewu,L,1,5,N,0,,,,N,N,,1,Christianity
enn,Engenni,L,1,5,N,4,,1977,1968,N,Y,,1,Christianity
eno,Enggano,L,1,4,N,2,,,,N,N,,1,Christianity
eng,English,L,539,5,N,5,1382-2002,1380-2011,1530-1995,Y,Y,59,1,Christianity
enl,Enlhet,L,1,4,N,5,1995,Yes,Yes,N,Y,,1,Christianity
ptt,Enrekang,L,1,1,Y,1,,,,N,N,,6,Islam
enu,Enu,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
env,Enwan,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
enw,Enwan,L,1,5,N,1,,,,N,N,,1,Christianity
enx,Enxet,L,1,3,N,5,2015,1992,Yes,N,Y,enx,1,Christianity
gey,Enya,L,1,4,N,1,,,,N,Y,,1,Christianity
sja,Epena,L,3,2,N,4,,2005–2015,1991,N,Y,270,4,"Ethnic Religions"
epi,Epie,L,1,4,N,3,,,2017,N,Y,,4,"Ethnic Religions"
fpe,"Equatorial Guinean Pidgin",L,1,4,N,3,,,Yes,Y,N,,1,Christianity
era,Eravallan,L,,,N,1,,,,N,N,,,
kjy,Erave,L,1,5,N,4,,1993,1975-1990,N,N,,1,Christianity
twp,Ere,L,1,5,N,1,,,,N,Y,,1,Christianity
ert,Eritai,L,1,4,N,1,,,,N,Y,,1,Christianity
erw,Erokwanas,L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
emx,Erromintxela,N,,,N,0,,,,N,N,,,
ers,Ersu,L,4,1,Y,4,,1938-1978,Yes,N,N,,2,Buddhism
erh,Eruwa,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
myv,Erzya,L,9,3,N,4,,1827-2006,1821-1998,Y,N,,1,Christianity
ish,Esan,L,1,4,N,3,,,1974,N,Y,,1,Christianity
mcq,Ese,L,1,5,N,4,,1975-1999,1966-1968,Y,Y,1004,1,Christianity
ese,"Ese Ejja",L,2,4,N,4,,1984-2012,1967-1981,Y,Y,576,4,"Ethnic Religions"
esh,Eshtehardi,L,,,N,0,,,,N,Y,,,
ags,Esimbi,L,2,5,N,3,,,2007,N,Y,,4,"Ethnic Religions"
esy,Eskayan,N,,,N,0,,,,N,N,,,
epo,Esperanto,L,,,N,5,1900-1910,1900-1910,1910-1990,N,N,841,,
esq,Esselen,N,,,N,0,,,,N,N,,,
eso,"Estonian Sign Language",L,1,,N,2,,,,N,N,,7,Non-Religious
ekk,"Estonian, Standard",L,22,4,N,5,1739-1995,1686-1989,1632-1991,Y,Y,309,7,Non-Religious
etb,Etebi,L,1,5,N,1,,,,N,N,,1,Christianity
eth,"Ethiopian Sign Language",L,1,5,N,3,,,2011–2014,N,N,,1,Christianity
ich,Etkywan,L,1,4,N,3,,,Yes,Y,Y,,1,Christianity
etn,Eton,L,1,5,N,1,,,,N,Y,,1,Christianity
eto,Eton,L,1,4,N,2,,,,N,Y,,1,Christianity
ets,Etsako,L,1,5,N,4,,1997,1980,N,Y,,1,Christianity
utr,Etulo,L,1,4,N,3,,,2014,Y,Y,,1,Christianity
bzz,Evant,L,2,5,N,1,,,,N,Y,,1,Christianity
eve,Even,L,1,1,Y,3,,,1880-2001,N,Y,eve,4,"Ethnic Religions"
evn,Evenki,L,7,1,Y,3,,,1995,N,Y,,4,"Ethnic Religions"
gev,Eviya,L,1,4,N,0,,,,N,N,,4,"Ethnic Religions"
nou,Ewage-Notu,L,1,5,N,4,,1987,1930-1952,N,Y,1199,1,Christianity
ewe,Ewe,L,10,5,N,5,1911-2011,1990-2003,1988,Y,Y,ewe,1,Christianity
ewo,Ewondo,L,2,5,N,5,1962-2012,1959-2012,1955-1957,Y,Y,ewo,1,Christianity
ext,Extremaduran,L,2,3,N,1,,,,N,N,,1,Christianity
eya,Eyak,N,,,N,0,,,,N,N,,,
eza,Ezaa,L,1,5,N,5,2005,1980-1993,Yes,Y,Y,eza,1,Christianity
fab,"Fa d'Ambu",L,2,4,N,3,,,2009,Y,N,,4,"Ethnic Religions"
faf,Fagani,L,1,5,N,3,,,1904,N,N,,1,Christianity
uve,Fagauvea,L,1,4,N,3,,,1903,N,N,,1,Christianity
fai,Faiwol,L,1,5,N,4,,1995,1969-1990,N,Y,1428,1,Christianity
fax,Fala,L,1,3,N,4,,2015,Yes,N,N,,1,Christianity
fli,Fali,L,1,4,N,4,,1983,Yes,Y,Y,,4,"Ethnic Religions"
fah,"Fali of Baissa",N,,,N,0,,,,N,N,,,
fll,"Fali, North",L,1,1,Y,3,,,1971,N,Y,,6,Islam
fal,"Fali, South",L,1,2,N,4,,1975,1974,N,Y,,6,Islam
fam,Fam,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
bjp,Fanamaket,L,1,5,N,4,,2015,2011,Y,Y,1427,1,Christianity
fnb,Fanbak,L,1,5,N,1,,,,N,N,,1,Christianity
fak,Fang,L,1,4,N,5,1951,Yes,Yes,N,Y,,1,Christianity
fan,Fang,L,5,4,N,4,,2014,2000,Y,Y,,1,Christianity
fni,Fania,L,1,1,Y,1,,,,N,N,,6,Islam
gur,Farefare,L,4,4,N,5,2008,1986-2004,1962-2000,Y,Y,1323,4,"Ethnic Religions"
fao,Faroese,L,2,5,N,5,1948-1961,1931-1937,1823-1931,Y,N,374,1,Christianity
faz,"Fars, Northwestern",L,1,1,Y,0,,,,N,N,,6,Islam
fay,"Fars, Southwestern",L,1,1,Y,0,,,,N,Y,,6,Islam
fqs,Fas,L,1,5,N,3,,,1983,N,Y,,1,Christianity
faa,Fasu,L,1,5,N,4,,1976-1995,1964,N,Y,956,1,Christianity
far,Fataleka,L,1,5,N,4,,2017,2015,N,Y,far,1,Christianity
ddg,Fataluku,L,2,3,N,4,,Yes,Yes,N,Y,,1,Christianity
fau,Fayu,L,1,4,N,2,,,,N,N,,1,Christianity
pdn,Fedan,L,1,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
fmp,Fefe,L,1,4,N,3,,,1960,N,N,,1,Christianity
agl,Fembe,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
fer,Feroge,L,1,4,N,0,,,,N,N,,6,Islam
fij,Fijian,L,12,5,N,5,1864,1847-1987,1839-1968,Y,Y,676,1,Christianity
wyy,"Fijian, Western",L,2,5,N,3,,,2016,N,Y,,1,Christianity
fil,Filipino,L,,,N,5,1905,1902-1977,1898-1991,N,N,,,
psp,"Filipino Sign Language",L,1,,N,2,,,,N,N,,1,Christianity
fss,"Finland-Swedish Sign Language",N,,,N,0,,,,N,N,,,
fin,Finnish,L,17,5,N,5,1642-1991,1548-1976,1891-1986,Y,Y,61,1,Christianity
fse,"Finnish Sign Language",L,1,,N,3,,,1989,N,N,,1,Christianity
fkv,"Finnish, Kven",N,1,4,N,0,,,,N,N,,1,Christianity
fit,"Finnish, Tornedalen",L,2,5,N,3,,,1993-1995,N,N,,1,Christianity
fag,Finongan,L,1,5,N,3,,,2005,N,N,,1,Christianity
fip,Fipa,L,1,5,N,4,,1988,Yes,N,Y,,1,Christianity
fir,Firan,L,1,4,N,3,,,2009–2011,N,Y,,4,"Ethnic Religions"
fiw,Fiwaga,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
fly,Flaaitaal,N,,,N,0,,,,N,N,,,
vgt,"Flemish Sign Language",L,,,N,1,,,,N,N,,,
flh,Foau,L,1,4,N,1,,,,N,N,,1,Christianity
foi,Foi,L,1,5,N,4,,1978,1961-1968,N,Y,,1,Christianity
ffi,"Foia Foia",L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
ppo,Folopa,L,1,5,N,4,,2005,1978-1989,Y,Y,1184,1,Christianity
fom,Foma,L,2,4,N,1,,,,N,N,,1,Christianity
fon,Fon,L,6,5,N,5,2014,1994,1967,Y,Y,817,1,Christianity
fgr,Fongoro,N,,,N,0,,,,N,N,,,
fod,Foodo,L,2,1,Y,3,,,1998,N,Y,,6,Islam
frq,Forak,L,1,5,N,1,,,,N,N,,1,Christianity
frd,Fordata,L,1,2,N,4,,2016,1996-2004,Y,Y,,6,Islam
for,Fore,L,2,5,N,4,,1970-1974,1966-1969,N,Y,973,1,Christianity
frt,Fortsenal,L,1,5,N,1,,,,N,N,,4,"Ethnic Religions"
fra,French,L,147,3,N,5,1530-2000,1474-1990,1483-1989,Y,Y,93,1,Christianity
sfb,"French Belgian Sign Language",L,1,,N,1,,,,N,N,,1,Christianity
fsl,"French Sign Language",L,2,,N,3,,,2011,N,N,,1,Christianity
frc,"French, Cajun",L,1,4,N,0,,,,N,Y,,1,Christianity
fry,Frisian,L,3,4,N,5,1943-1978,1933,1755-1937,N,Y,,1,Christianity
frr,"Frisian, Northern",L,2,3,N,3,,,1954,N,N,,1,Christianity
fur,Friulian,L,1,3,N,4,,1972,1860,N,N,,1,Christianity
fub,"Fulfulde, Adamawa",L,8,1,Y,5,1983-2016,1963-1964,1919-1966,Y,Y,906,6,Islam
fui,"Fulfulde, Bagirmi",L,2,1,Y,2,,,,N,N,,6,Islam
fue,"Fulfulde, Borgu",L,3,1,Y,4,,2010,Yes,Y,Y,,6,Islam
fuq,"Fulfulde, Central-Eastern Niger",L,6,1,Y,4,,2015,2006,N,Y,1373,6,Islam
ffm,"Fulfulde, Maasina",L,4,1,Y,4,,2005,1934,Y,Y,1175,6,Islam
fuv,"Fulfulde, Nigerian",L,4,1,Y,4,,2007-2010,Yes,Y,Y,1159,6,Islam
fuh,"Fulfulde, Western Niger",L,5,1,Y,4,,2018,2003-2005,Y,Y,1032,6,Islam
flr,Fuliiru,L,1,5,N,5,2019,1999,1959-1991,Y,Y,,1,Christianity
fum,Fum,L,,,N,1,,,,N,N,,,
ula,Fungwa,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
fvr,Fur,L,4,1,Y,3,,,Yes,Y,Y,,6,Islam
fuu,Furu,L,2,5,N,2,,,,N,Y,,1,Christianity
fud,"Futuna, East",L,2,4,N,5,2010,2000-2001,1991,N,N,,1,Christianity
fut,Futuna-Aniwa,L,1,5,N,4,,1898,1869-1923,N,Y,,1,Christianity
fuy,Fuyug,L,1,5,N,3,,,1973-1994,N,Y,,1,Christianity
fwa,Fwai,L,1,4,N,1,,,,N,N,,1,Christianity
fwe,Fwe,L,1,3,N,3,,,Yes,Y,Y,,1,Christianity
fie,Fyer,L,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
gaa,Ga,L,3,5,N,5,1866-1997,1859-1977,1843-1966,Y,Y,,1,Christianity
gqa,Ga'anda,L,1,5,N,3,,,2012–2013,Y,Y,,1,Christianity
gdg,Ga'dang,L,1,2,N,4,,2000,1976-1981,N,N,1436,4,"Ethnic Religions"
ttb,Gaa,L,1,1,Y,1,,,,N,Y,,6,Islam
tbi,Gaam,L,2,1,Y,0,,,,N,N,,4,"Ethnic Religions"
gbw,Gabi-Gabi,N,,,N,0,,,,N,N,,,
gab,Gabri,L,1,5,N,4,,2007,Yes,N,Y,,4,"Ethnic Religions"
gbj,"Gadaba, Bodo",L,14,2,N,4,,2011,Yes,Y,N,,5,Hinduism
gau,"Gadaba, Mudhili",L,22,1,Y,3,,,Yes,Y,Y,,5,Hinduism
gdb,"Gadaba, Pottangi Ollar",L,16,1,Y,4,,2012,Yes,N,Y,,5,Hinduism
